Q339896	Ajith Kumar
Q49193	Brockton
Q26625	Marc Anthony
Q381203	Ted Danson
Q325643	Who's Afraid of Virginia Woolf?
Q43247	Ingrid Bergman
Q40117	Rutina Wesley
Q7785	Commonwealth of Nations
Q19481	Leicester City F.C.
Q718078	Bob Newhart
Q484179	folk metal
Q23848	Ennio Morricone
Q60450	Curtis Institute of Music
Q464749	Journey
Q5794	Everton F.C.
Q26777	Sierra Nevada
Q6199	anarchism
Q35678	Benjamin Harrison
Q838121	Peabody Award
Q178975	31st Academy Awards
Q549012	The Barbarian Invasions
Q157041	The Offspring
Q260509	Submarine
Q577878	Rock Island
Q515931	Willow
Q497810	Camden County
Q1703265	Jonathan Murray
Q348603	Howard Stern
Q3113011	Hamilton College
Q491800	Gattaca
Q267936	executive director
Q220192	Zoolander
Q128902	William Pitt the Younger
Q1335583	Jim Taylor
Q112107	Lucas County
Q3994964	1987 NCAA Men's Division I Basketball Tournament
Q49206	University of Connecticut
Q980	Bavaria
Q23154	Bristol
Q121594	professor
Q189074	Harlem
Q36380	Society of Jesus
Q6829195	Michael Chamberlain
Q48143	meningitis
Q53342	Mike Bryan
Q1621941	Sons and Lovers
Q23540	Protestantism
Q687427	BBC Three
Q1171366	The L-Shaped Room
Q207640	Robert E. Howard
Q138345	Liberal Party of Canada
Q189592	County Antrim
Q493261	Walnut Creek
Q1017974	Butler University
Q149947	Midway Games
Q9651	1976 Winter Olympics
Q545172	Matt Frewer
Q111549	St. Louis County
Q72229	Edward Dmytryk
Q209137	post-rock
Q669442	Knox College
Q728542	Ring Lardner
Q55303	John Schlesinger
Q3018205	David Kirschner
Q491099	Carlsbad
Q754094	Rob Thomas
Q5105	Céline Dion
Q924	Tanzania
Q36479	The Lion King
Q496381	Waterloo
Q1474105	Western Kentucky University
Q372608	University of Basel
Q330468	Om Shanti Om
Q42201	independent music
Q272919	Kari Wahlgren
Q485676	Anand
Q719035	David Shire
Q781	Antigua and Barbuda
Q454819	Branford Marsalis
Q25989	Central European Time
Q1677925	Ridgewood
Q464775	FC Thun
Q312078	Speed Racer
Q56008	Tim Burton
Q80837	supernatural
Q673198	Star Trek: Insurrection
Q184407	Basilica of Saint-Denis
Q201379	Forgetting Sarah Marshall
Q431355	Modest Mouse
Q11975	Britney Spears
Q1321379	Lakeshore Entertainment
Q6343	Carthage
Q648750	Roy Hargrove
Q365042	Bret Michaels
Q1491295	Gaily, Gaily
Q7033959	Yue Chinese
Q164782	Ashton Kutcher
Q108418	Cook County
Q1569495	academic lecturer
Q327116	Sidney Sussex College
Q504339	Oakland Athletics
Q174811	Up
Q344576	Paul Winfield
Q304985	Royal College of Music
Q502250	Staunton
Q507256	Washington County
Q7535073	Skidmore College
Q353935	Edward R. Murrow
Q3098911	Stuyvesant High School
Q223117	Stanley Tucci
Q336272	George Clinton
Q731824	Univision
Q1755864	Naked Lunch
Q188791	Cyprus national football team
Q1144479	Youth in Revolt
Q10686	Belfast
Q187814	Tracy Chapman
Q169661	Detroit Pistons
Q236250	Kathy Baker
Q174346	Katie Holmes
Q485038	Oklahoma County
Q79820	Yuma
Q845204	The Exorcism of Emily Rose
Q538412	Breaking the Waves
Q674165	Tony Award for Best Featured Actor in a Musical
Q3778705	The Gathering Storm
Q1465252	United States Department of the Air Force
Q471879	Joss Ackland
Q832086	Dave Matthews Band
Q236829	Diana Wynne Jones
Q47899	Paris Hilton
Q3037	Kathmandu
Q18735	Kotono Mitsuishi
Q212064	Channing Tatum
Q789915	United States Department of State
Q2910457	IFC Films
Q168992	Jessica Simpson
Q13595531	Ethan Coen
Q3112728	Governor of New Jersey
Q178283	County Limerick
Q310847	John Jay
Q83401	Heroes
Q452063	Darren Star
Q559844	Haim Saban
Q530923	Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series
Q1260789	Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role
Q57833	Klaus Badelt
Q712860	Chris Martin
Q239145	Molly Shannon
Q39473	Transylvania
Q1198812	The Conformist
Q1617	Urdu
Q25043	Monty Python and the Holy Grail
Q1511	Richard Wagner
Q3032420	Laxmikant-Pyarelal
Q2739	A.S. Roma
Q1156892	The Eel
Q916431	Alice Doesn't Live Here Anymore
Q559893	The Wings of the Dove
Q659609	Before Sunrise
Q208507	The Chemical Brothers
Q728553	Community
Q37643	Gulf War
Q230203	Amy Poehler
Q35332	Brad Pitt
Q2865	Kassel
Q1112687	keytar
Q127990	Australian National University
Q1286387	The Cat in the Hat
Q310841	Garret Hobart
Q901	scientist
Q2832952	Alex Gibney
Q637290	Cobra
Q9531	BBC
Q213205	San Francisco Bay Area
Q310796	Damian Marley
Q228755	Lauren Graham
Q1009788	The Conversation
Q185163	O.G.C. Nice
Q247293	Lalo Schifrin
Q39639	Brad Paisley
Q636303	Paul Dini
Q54212	Barnsley
Q1200368	Astralwerks
Q193070	Matt Dillon
Q170377	Blackpool
Q9920	Haarlem
Q814778	Deliverance
Q49001	Whoopi Goldberg
Q46392313	Teen Titans Go! To the Movies
Q230190	Samantha Morton
Q494152	Blair County
Q181557	Kaohsiung
Q465275	Fantastic Mr. Fox
Q1065	United Nations
Q1424258	Nashville
Q475529	Mr. Deeds Goes to Town
Q206886	A Civil Action
Q719326	Shin-ichiro Miki
Q1251504	Double Team
Q734663	TV Tokyo
Q95055	Jane Wyman
Q342803	Portsmouth
Q117147	Thomas Langmann
Q833180	Frankenstein
Q241085	Bugsy
Q302535	Aaron Rochin
Q875920	Tōhō
Q880515	Black Robe
Q15175	Guangdong
Q2081806	Omaha Nighthawks
Q503710	Tim Armstrong
Q472055	strategy video game
Q1249251	Missouri State University
Q499927	Moscow
Q646389	Hook
Q1403132	Shadowlands
Q13160	Jalisco
Q917254	Fair Game
Q224650	Sarah McLachlan
Q849336	Dangerous
Q123078	Robert A. Heinlein
Q745921	The Lonely Passion of Judith Hearne
Q158474	Eagle Eye
Q223507	Denver Broncos
Q221150	Minnesota Vikings
Q805	Yemen
Q34460	Gwyneth Paltrow
Q1165071	Danton
Q191843	R.C. Lens
Q486472	Kansas City
Q597239	Reds
Q665489	Royal Tunbridge Wells
Q1660305	Imperial Records
Q151898	Stranger than Fiction
Q80012	Pine Bluff
Q484538	Washington County
Q181425	Chow Yun-fat
Q881	Vietnam
Q196665	8 Mile
Q888178	Bob Odenkirk
Q76478	Kirsten Dunst
Q1835695	Selangor FA
Q920439	William H. Reynolds
Q861524	Sandefjord Fotball
Q222461	65th Academy Awards
Q296500	Terrence Howard
Q74881	Dalian
Q1631795	Wee Willie Winkie
Q786019	The Haunting
Q132805	Thomas Hardy
Q652715	James Wilby
Q1686232	Jeetendra
Q2127	Charlottetown
Q12689	Pas-de-Calais
Q708290	Cartoon Network
Q1049095	Rent
Q838544	Earache Records
Q60123	Chiapas
Q972300	Venus
Q824	Oregon
Q93191	Baptists
Q312705	John Cho
Q1349873	Jis Desh Men Ganga Behti Hai
Q108861	King County
Q1653721	Kuk Harrell
Q1111261	Colorado College
Q102124	Sigourney Weaver
Q2964857	Chris Seefried
Q1465651	St Hilda's College
Q1752518	The Rose
Q634694	The Rose Tattoo
Q35622	WWE SmackDown
Q820046	MTV Movie Award for Best Song from a Movie
Q3543509	Philippine Standard Time
Q116113	James Gordon
Q463497	Miguel Ferrer
Q1346658	Airport '77
Q232	Kazakhstan
Q72291	David O. Selznick
Q211302	glacial lake
Q34266	Russian Empire
Q649649	Focus Features
Q49127	John F. Kennedy School of Government
Q2198146	STV
Q547137	Latin pop
Q73089	Gene Kelly
Q188137	J. J. Abrams
Q217467	art rock
Q230636	Geraldine Chaplin
Q202028	War of the Worlds
Q350640	Walter Pidgeon
Q671288	Bend
Q211965	The Moody Blues
Q3625727	World Fantasy Award for Life Achievement
Q818710	Zorba the Greek
Q988568	Framingham
Q364864	Mike Mills
Q264840	Vera Farmiga
Q761534	University of Georgia
Q215182	Michael Stipe
Q1354162	Seraphim Falls
Q313554	Malcolm Arnold
Q1616747	The Witches
Q908668	Brendan Coyle
Q207916	Tomorrow Never Dies
Q314421	Jason Biggs
Q462161	Kenosha
Q1333399	University of Leicester
Q497702	Jackson County
Q275402	Sam Raimi
Q204398	Octopussy
Q25144	Kevin Spacey
Q193753	Indianapolis Colts
Q180337	The Proposition
Q185851	lacrosse
Q150	French
Q533638	Father Goose
Q216661	C.D. Tenerife
Q329816	Texas Rangers
Q557880	investor
Q186465	Julian Schwinger
Q3532	Hemel Hempstead
Q49129	Boston Latin School
Q210961	Kilmarnock F.C.
Q609936	The Company of Wolves
Q169637	Milwaukee Bucks
Q2331	Led Zeppelin
Q4767409	Anna Pinnock
Q196004	From Dusk till Dawn
Q4119316	Hobart and William Smith Colleges
Q1320997	Gulliver's Travels
Q837	Nepal
Q19490	Nottingham Forest F.C.
Q229349	Heather Morris
Q164134	United States men's national soccer team
Q19470	Derby County F.C.
Q6690	F.C. Crotone
Q850522	Little Women
Q108143	San Diego County
Q25973	Hermann Hesse
Q309059	Inverness Caledonian Thistle F.C.
Q35051	white cabbage
Q59073	Places in the Heart
Q54140	Salem
Q2100	Duisburg
Q492264	film score
Q670296	Todd Field
Q576671	Highland Park
Q9545	Tony Blair
Q779151	Robert Smigel
Q82925	Joseph Conrad
Q148659	Indiana Jones
Q1068314	Jack Ryan
Q212156	Angel
Q208592	Sleepy Hollow
Q55432	John Woo
Q1114947	Seattle metropolitan area
Q219124	Guillermo del Toro
Q7066	atheism
Q599316	The New School
Q1281608	SuperSport United F.C.
Q131964	Austrian Empire
Q638859	Mills College
Q60487	The Twilight Saga: Breaking Dawn – Part 2
Q16028723	Mr. Turner
Q865056	Bird
Q1370195	Lee Garmes
Q3401588	Prem Chopra
Q913545	Ali
Q577891	East St. Louis
Q2610941	Holby City
Q192353	Jethro Tull
Q1235281	We Have a Pope
Q186190	skeleton
Q28848	Saint Paul
Q1848335	The Strawberry Blonde
Q1044635	Bewitched
Q318188	Peter Shaffer
Q611404	Luther
Q40787	Nicholas II of Russia
Q5104788	Travels with My Aunt
Q49114	Brown University
Q192096	bowed string instrument
Q212413	point guard
Q726823	The Stunt Man
Q155169	21
Q3410	Hertfordshire
Q965659	Freddie Young
Q408	Australia
Q4941	Skyfall
Q151973	Richard Burton
Q108543	Alien 3
Q23066	Cumbria
Q1906085	Marvin Hatley
Q211731	Timothy Leary
Q193744	Tori Amos
Q5230469	David A. Goodman
Q845137	Angers SCO
Q217557	Joyce Carol Oates
Q85707	Hans J. Salter
Q77112	David Foster
Q2045695	shock rock
Q276524	Robert Byrd
Q605388	Fat Wreck Chords
Q318766	The Terminal
Q437267	Chris Carter
Q156350	Shasta County
Q905399	Dil
Q1075293	Irish Americans
Q211009	Van Helsing
Q725507	Sterling Holloway
Q8558	2004 Summer Olympics
Q1707966	Joseph M. Schenck
Q1047230	Casey Kasem
Q192217	Rob Schneider
Q2062126	Paul S. Fox
Q2698650	The Adventures of Tom Sawyer
Q181086	A Clockwork Orange
Q1620897	Paul Francis Webster
Q261812	Drake Bell
Q1709607	José Rivera
Q1362	Islamabad
Q517265	Romeo and Juliet
Q925024	Manchester Monarchs
Q131332	Amanda Peet
Q2408776	CWA New Blood Dagger
Q290356	San Pedro
Q7610883	Stephen Woolley
Q637771	Wilco
Q4175034	legislator
Q458766	Peter Hyams
Q487479	Cradle of Filth
Q652	Italian
Q269912	Into the Wild
Q490994	Sangamon County
Q6537	Vicenza
Q171128	Diego Rivera
Q114140	Jefferson County
Q125017	Uma Thurman
Q1123006	Superman IV: The Quest for Peace
Q317784	Jermaine Jackson
Q1114628	Ferris Webster
Q3626525	Mohnish Bahl
Q49575	Dizzy Gillespie
Q579611	Haverford College
Q364342	Darryl F. Zanuck
Q462	Star Wars
Q1682329	Tuskegee University
Q15701	Kagoshima Prefecture
Q1148579	MyNetworkTV
Q28936	Cloud Atlas
Q1026089	Cajun music
Q310204	The Grudge
Q313043	Richard Jenkins
Q41112	schizophrenia
Q320341	celesta
Q23124	West Midlands
Q313596	Leslie Cheung
Q1724081	Romance
Q217020	Thor
Q498109	Rush Hour 3
Q80978	Hewlett-Packard
Q191999	Robert McNamara
Q1217922	The Barefoot Contessa
Q2816325	35th Canadian Parliament
Q458314	Alien: Resurrection
Q1304397	My Favorite Year
Q6397	Avignon
Q721146	Rome, Open City
Q207706	Eurythmics
Q635924	Seven Pounds
Q72869	Stan Laurel
Q338442	Rhapsody in Blue
Q272931	Loretta Lynn
Q558334	Libertarian Party
Q171150	Kingdom of Hungary
Q795022	Julius J. Epstein
Q2620599	Justice League: Crisis on Two Earths
Q439949	Rory Fallon
Q41513	William Blake
Q731721	Plastic Ono Band
Q54236	Hartford County
Q35069	women's studies
Q152772	2009 World Championships in Athletics
Q7603534	state senator
Q1216268	Absence of Malice
Q40143	Janeane Garofalo
Q2092755	Satellite Awards 2009
Q9503	suspense
Q623031	liver cancer
Q1130084	The Hustler
Q844059	New Girl
Q5611721	Grown Ups 2
Q1123766	Grammy Award for Best Rap Song
Q1218542	The Great White Hope
Q18389	New England
Q16567	Columbus
Q3531774	Tony Geiss
Q217533	The Joker
Q201687	Milk
Q2408777	Comic Relief Does Fame Academy
Q3249	Calvados
Q181540	Quantum of Solace
Q202449	David Ogden Stiers
Q1086291	Christophe Beck
Q229979	Kate Walsh
Q228860	Colbie Caillat
Q426352	Samson and Delilah
Q1146700	Jesus College
Q756956	dark ambient
Q45354	The Doors
Q860527	University of North Texas
Q1636558	Victory Records
Q320423	The Spy Who Loved Me
Q678437	Montclair
Q317516	James Denton
Q1760791	Middlesex University
Q141817	German Americans
Q202326	The Godfather Part III
Q26741	Brian Drummond
Q11578	Venus Williams
Q4749872	An Early Frost
Q833322	Murder, She Wrote
Q867921	Livingston F.C.
Q8253	fiction
Q34218	Burlington
Q1476230	Michael Lantieri
Q667659	funk metal
Q423	North Korea
Q28603	Frankfort
Q357726	Edward R. Pressman
Q751341	The Prize
Q188969	B. B. King
Q597	Lisbon
Q71960	Save the Last Dance
Q314935	Paul Haggis
Q701759	Escape from Sobibor
Q851095	Lock, Stock and Two Smoking Barrels
Q482607	Munhwa Broadcasting Corporation
Q200299	All About Eve
Q296577	Frank Welker
Q2300940	The Cooler
Q18521	Macclesfield Town F.C.
Q496862	Middlesex County
Q16471	Invasion of Normandy
Q208459	Sunnyvale
Q638085	The Bells of St. Mary's
Q222965	Inside Daisy Clover
Q320417	A Map of the World
Q1621107	History
Q11911	canton of Bern
Q1842	Luxembourg
Q574998	Antichrist
Q294454	Peter Finch
Q950893	Elevator to the Gallows
Q173347	Éamon de Valera
Q186889	nausea
Q676284	Saw 3D
Q812767	Shinto
Q185165	Olivia Newton-John
Q51577	James Ivory
Q670417	Bob Clampett
Q464032	Cinema Paradiso
Q8682	Real Madrid CF
Q35498	Chester A. Arthur
Q164177	Phoenix Suns
Q2468138	Johnny Yong Bosch
Q197697	Alex Manninger
Q156291	Allegheny County
Q483501	artist
Q193326	Goldman Sachs
Q3183366	Jonathan Forte
Q179	Boeing 747
Q383142	Leslie I. Carey
Q487355	Lennie Hayton
Q107914	Diamonds Are Forever
Q693268	Disney's House of Mouse
Q299282	Tom Kenny
Q1540260	A Guide to Recognizing Your Saints
Q7970362	Greek Orthodox Church
Q844819	Bad Education
Q49169	Stamford
Q214793	Northern line
Q5491692	Franklin Milton
Q313039	John Krasinski
Q536749	70th Academy Awards
Q229389	Yunjin Kim
Q283586	The Master
Q192073	Little Miss Sunshine
Q219512	Jesse Eisenberg
Q1171033	The Burning Bed
Q682443	Episcopal Church
Q1552010	University of Louisiana at Monroe
Q487181	Requiem for a Dream
Q12560	Ottoman Empire
Q1023235	Tiburones Rojos de Veracruz
Q2066	Essen
Q39979	Chris Bauer
Q3367868	Fulham
Q106383	Isabelle Adjani
Q215132	80th Academy Awards
Q130769	San Francisco
Q192873	Dundee United F.C.
Q2976730	Grammy Award for Best Music Video
Q584451	Bethesda
Q49204	Smith College
Q26698156	The Shape of Water
Q2247896	The Molly Maguires
Q960668	State and Main
Q24994	safety
Q841372	Juggernaut
Q4830453	business
Q381561	Anthony Wong
Q474027	dancehall
Q312173	Bow Wow
Q38257	Enya
Q989453	Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie
Q440283	Dany Heatley
Q189078	Xzibit
Q18399	I Vitelloni
Q1339570	Batman Beyond
Q617869	MTV Video Music Award for Best Pop Video
Q2093110	University of Texas at El Paso
Q683724	Armenian Apostolic Church
Q47716	Charleston
Q814158	Japanese mythology
Q1142030	Salavat Yulaev Ufa
Q79892	Belleville
Q156361	Lake County
Q596984	The Crucible
Q7414	The Walt Disney Company
Q62766	Jay-Z
Q1210	Lombardy
Q107146	Alameda County
Q714411	Chris Botti
Q170558	Minnesota Timberwolves
Q154454	NSYNC
Q241510	Michael Biehn
Q534785	Senna
Q41136	Arthur Penn
Q155	Brazil
Q665319	broadsheet
Q55420	Fred Zinnemann
Q2392480	1994 Major League Baseball season
Q27844	Delaware County
Q214548	Andy Williams
Q2092688	Tabitha St. Germain
Q2627090	Dave Thomas
Q2284765	cavalier
Q12544	Byzantine Empire
Q2086913	Central Time Zone
Q7696995	television comedy
Q735	art
Q2223675	Santo Loquasto
Q1255499	Red State
Q854890	Queen of the South F.C.
Q1474606	2004 NBA Draft
Q964658	Outlaw country
Q42511	H. G. Wells
Q41585	David Hilbert
Q667727	Tupelo
Q484548	Tooele County
Q1333848	Gardner Fox
Q376807	The Other Guys
Q225509	Susannah York
Q525970	Peter Cook
Q1195774	Breaker Morant
Q1407062	Maytime
Q727758	Fender Precision Bass
Q1277432	Superman: The Animated Series
Q283760	Al-Arabi SC
Q561133	David Wain
Q865092	Birds Anonymous
Q194393	SK Slavia Prague
Q972634	African popular music
Q313281	Michel Legrand
Q988159	Southfield
Q1198545	The Sundowners
Q39168	Harold Alexander, 1st Earl Alexander of Tunis
Q369292	Thomas Dekker
Q187832	Mandy Moore
Q42229	Mel Gibson
Q164328	David Koechner
Q19575	Carlisle United F.C.
Q83164	East India Company
Q5836	Toledo
Q4257369	Carolyn Leigh
Q483152	Jeonbuk Hyundai Motors
Q216608	Bob Geldof
Q28054	Judi Dench
Q49233	Orlando
Q698033	Rules of Engagement
Q7256860	The Prodigy
Q120	June
Q3280602	Hearts and Minds
Q1841	Catholicism
Q1444624	The Dark at the Top of the Stairs
Q170447	112th United States Congress
Q632212	Storm
Q1144782	Touché, Pussy Cat!
Q18507	Barrow A.F.C.
Q185928	Henry Mancini
Q192334	University of North Carolina at Chapel Hill
Q11649	Nirvana
Q611885	Waitakere United
Q81447	Aldous Huxley
Q1378320	Swarthmore College
Q8072	volcano
Q1148711	Paramount Vantage
Q501529	Hatfields & McCoys
Q970089	Unfaithful
Q621587	Sucker Punch
Q214066	Peter Zinner
Q560178	Jackie Shroff
Q232098	Lauren Ambrose
Q229241	Miranda Richardson
Q491239	Canton
Q1507298	lo-fi music
Q237072	Battlestar Galactica
Q160009	P!nk
Q946040	National Party of Australia
Q488925	Tak Fujimoto
Q131539	children's literature
Q712055	Arthur Wimperis
Q14539	Jason Sudeikis
Q78505	Peter Lorre
Q1783207	Saturday Night's Main Event
Q59184158	Superman
Q868660	Kingston
Q574583	The Hunger Games: Catching Fire
Q187269	Richard Portman
Q234131	Joely Richardson
Q340169	communication medium
Q877103	Chris Patton
Q1107006	Ken Thompson
Q47059	Aishwarya Rai
Q1027904	Grammy Award for Song of the Year
Q321561	Scent of a Woman
Q983238	Christopher Lloyd
Q193606	horror literature
Q189490	Jennifer Lawrence
Q781486	Australian Greens
Q241808	Huntington
Q774270	Charles Rosher
Q1395905	John Buscema
Q7713821	The Angry Silence
Q700359	PolyGram
Q2135	Winnipeg
Q230188	Olympia Dukakis
Q389791	Mortal Thoughts
Q1328038	Orix Buffaloes
Q72717	Elia Kazan
Q246782	Chicago Cubs
Q2749	Augsburg
Q990504	Exeter
Q605453	Smokin' Aces
Q315811	Stephen Richard Hackett
Q1166360	Darling
Q6506	Varna
Q7089367	Om Shivpuri
Q181015	Charleston County
Q11593	The Last Airbender
Q8686	Shanghai
Q122614	Renée Zellweger
Q728217	Josh Schwartz
Q2392121	The Jetsons Meet the Flintstones
Q4115199	Indian Idol
Q845922	Lois Lane
Q200672	Notting Hill
Q183528	Philip Johnson
Q917071	33rd Academy Awards
Q49085	African Americans
Q1502999	Geoffrey S. Fletcher
Q8313	special effects supervisor
Q164103	A Beautiful Mind
Q1933462	SCE Studio Liverpool
Q148469	Romance on the High Seas
Q1077553	Chris Menges
Q917148	35th Academy Awards
Q565293	Anne Frank: The Whole Story
Q318263	Michael Redgrave
Q1419410	Melvin and Howard
Q1274807	Fred Ebb
Q154958	Nickelodeon
Q1130553	Roundhead
Q2961972	production sound mixer
Q813724	Becket
Q184485	performing arts
Q490920	Berks County
Q193105	James Woods
Q202041	Jamiroquai
Q109265	Denton County
Q924135	Rang De Basanti
Q43788	Madison
Q313522	Rip Torn
Q23800	Valletta
Q9690	fatigue
Q308683	Chicago Fire
Q217137	Pete Postlethwaite
Q81672	attack
Q502923	Dave Grusin
Q272952	Bonnie Hunt
Q23722	Curb Your Enthusiasm
Q23442	island
Q1247494	Roots: The Next Generations
Q465978	extreme metal
Q488701	Anne Arundel County
Q449531	Kevin Nealon
Q3307638	Stuart Duncan
Q488111	pornographic actor
Q23165	Gloucestershire
Q1737734	Keele University
Q989450	Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series
Q364131	Bob Seger
Q564958	A Simple Plan
Q913209	Kokomo
Q180852	Zhang Ziyi
Q109232	Rosanna Arquette
Q1231094	2008 Major League Baseball season
Q580509	Grammy Award for Best Urban/Alternative Performance
Q103916	Academy Award for Best Actor
Q1300411	Private Worlds
Q919608	David Silverman
Q29011	Howl's Moving Castle
Q1114683	Coming Home
Q578289	Waukegan
Q193196	University College London
Q2974368	Citadel Broadcasting
Q229379	Lil' Kim
Q814295	Intersection
Q506398	Claremont
Q339228	Acclaim Entertainment
Q26069	Klaas-Jan Huntelaar
Q3272069	Art Center College of Design
Q329510	FC Tom Tomsk
Q168397	Romania national football team
Q178145	gothic metal
Q1005953	Midland
Q4101775	Searching for Debra Winger
Q212405	Procter & Gamble
Q80011	Chiba Prefecture
Q936327	Willy Wonka & the Chocolate Factory
Q485625	Pet Shop Boys
Q1435	Zagreb
Q170826	scottish people are annoying
Q739105	Jason Marsden
Q115385	Il Divo
Q286569	Mobile Suit Gundam SEED Destiny
Q465646	Boys Don't Cry
Q107434	Sioux
Q222695	Grand Teton National Park
Q830208	Rush Hour 2
Q1891156	United States Forest Service
Q2798	Udinese Calcio
Q575315	Wheaton
Q37093	Yahoo
Q317026	Thomas Mitchell
Q4131	Hamilton
Q5592	Michelangelo
Q25224	pound sterling
Q128529	Paul Martin
Q55424	Peter Weir
Q471619	Joe Shuster
Q190243	John Paul Jones
Q4601563	2003 Major League Baseball draft
Q359604	Kyle Chandler
Q7779266	Top of the Lake
Q171048	Toy Story
Q1475	Quezon City
Q124739	Tijuana
Q229258	Gena Rowlands
Q235289	Ann Sothern
Q2302280	Texas Christian University
Q23589	Showtime
Q274334	Svetlana Aleksievich
Q467571	Most Wanted
Q79941	Selma
Q214341	University of Amsterdam
Q176826	The Last King of Scotland
Q210741	Eric Idle
Q110	March
Q204943	Brian Jones
Q1103061	Club Paradise
Q5375	cricket
Q929	Central African Republic
Q7008068	New Hampshire's 2nd congressional district
Q816772	I'm Not There
Q48995	Blood, Sweat & Tears
Q3520173	The Butler
Q212980	psychologist
Q1197022	The Spy Who Came in from the Cold
Q198032	Esporte Clube Bahia
Q81589	House of Windsor
Q426466	Skippy
Q170263	Chester
Q372103	electronic body music
Q3476361	Scottish American
Q174710	University of California, Los Angeles
Q752017	Eastern Promises
Q1759246	theatrical producer
Q108087	Mendocino County
Q456017	Amazing Grace
Q1041737	Carleton University
Q336185	Chris Noth
Q170082	psychosis
Q207736	St Andrews
Q4440	Eric Bana
Q163366	Ezra Pound
Q1581723	The Love Parade
Q14213	United States Secretary of State
Q1321503	Before the Devil Knows You're Dead
Q1188361	Warner Home Video
Q207536	The Matrix Revolutions
Q312252	Andy Griffith
Q49239	Toledo
Q1485	systemic lupus erythematosus
Q3176886	University of the Philippines Diliman
Q372788	Jonathan Nolan
Q106301	Academy Award for Best Supporting Actress
Q690463	Lantana
Q327214	Hope Springs
Q766445	Okinawa Prefecture
Q1505	Sikkim
Q217427	La Toya Jackson
Q1139341	Creation Records
Q655392	2009 Major League Baseball season
Q2741850	John Frink
Q29250	Bill Murray
Q748205	This Is England
Q17221	spokesperson
Q569678	Bozeman
Q28695	University of Helsinki
Q362876	Shawn Pyfrom
Q239549	Thailand national football team
Q259726	63rd Primetime Emmy Awards
Q1065291	40th Academy Awards
Q15275920	Happy
Q433106	Aleksa Palladino
Q359311	Richard D. Zanuck
Q3557	Central Java
Q369492	Bend It Like Beckham
Q817496	Benjamin Franklin Medal
Q8733	Qing dynasty
Q183048	The Beach Boys
Q1995569	thrashcore
Q238671	Debi Mazar
Q971412	This Sporting Life
Q45318	The Angels' Share
Q3551294	Universal Motown Republic Group
Q363241	Patrick Doyle
Q649175	Danzig
Q131320	Shizuoka Prefecture
Q37388	Francis Bacon
Q873384	Santana
Q1264867	Dulwich College
Q739138	teen pop
Q733498	Fist of the North Star
Q42178	vice president
Q638187	Lafayette
Q165357	Herbert Lom
Q31683	Dwyane Wade
Q463883	Frances Marion
Q315604	Barry Pepper
Q587847	Bandits
Q1042931	The Man Who Would Be King
Q31687	baritone
Q502564	Ocean County
Q203219	Boris Karloff
Q208026	Tom Hardy
Q5477105	Foxcatcher
Q1471328	Kitty Foyle
Q774489	Somerville College
Q1384661	Jesse Louis Lasky
Q4412277	Alpha Sigma Phi
Q1171956	Independent Spirit Award for Best First Screenplay
Q588464	Mohammad, Messenger of God
Q223262	FC Luzern
Q1404775	The Bridge of San Luis Rey
Q482540	Seongnam FC
Q262838	Cree Summer
Q113029	Boulder County
Q274887	Vantage Point
Q847435	The Spy Next Door
Q847054	MTV Video Music Award for Best Dance Video
Q641061	The Greatest Show on Earth
Q590813	All About Steve
Q679746	The Goodbye Girl
Q238919	Eileen Brennan
Q273215	Rod Steiger
Q7374	Alfred Hitchcock
Q215359	Dean Martin
Q389735	cardiovascular disease
Q624771	slapstick
Q1474157	University of New Orleans
Q1613944	Hobson's Choice
Q151814	Sarah Brightman
Q534006	Taye Diggs
Q101625	Marrakesh
Q2297044	Ilford
Q3294019	Mark Burnett
Q1786567	medical drama
Q2695156	Batman
Q184760	County Monaghan
Q3496921	Star!
Q18529	Wrexham A.F.C.
Q108	January
Q679023	Grindhouse
Q2018	Calcio Catania
Q524997	Angels with Dirty Faces
Q3959303	Shea Whigham
Q814296	Brief Encounter
Q216510	C.F. Os Belenenses
Q269887	Yes Man
Q214289	Michelle Yeoh
Q377903	Sunil Dutt
Q734774	Saint Louis University
Q124230	Paddington
Q126793	retail
Q18	South America
Q1442364	Jules Bass
Q211696	Keith Moon
Q487578	Livingston County
Q121176	nursing
Q106685	Andrzej Wajda
Q3757	Java
Q185846	Chris Noonan
Q299309	Peter MacNicol
Q229599	Charlie's Angels
Q11881	John Tyler
Q211082	Tara Reid
Q31013	Patti LaBelle
Q251395	Soviet Armed Forces
Q23403	Josh Sussman
Q1754755	Bolero
Q709857	Jack Nitzsche
Q234144	Rita Wilson
Q2392515	2005 Major League Baseball season
Q951634	Maury Chaykin
Q191100	Transformers: Revenge of the Fallen
Q1092837	post-bop
Q259957	17th Screen Actors Guild Awards
Q33635	Hema Malini
Q713912	Edward Kitsis
Q464036	The Monkees
Q767920	Network Ten
Q6247	Mantua
Q1144850	Father of the Bride
Q3766	Damascus
Q444366	Dan Schneider
Q1307345	University of Maine
Q211987	Jon Stewart
Q5686	Charles Dickens
